policy_name,policy_url,policy_year,policy_objective,policy_target,policy_target_text,policy_type,policy_type_justification,policy_integration,policy_sectors_list,policy_circularity,policy_lifecycle_phases_list,policy_budget,policy_budget_text,policy_score,instrument_type,instrument_lifecycle_stage,instrument_description,instrument_in_force,instrument_implementation,instrument_implementation_text,instrument_score,comments
"Environment Protection Act, 2076 (2019)",http://climate.mohp.gov.np/images/Environment-Protection-Act-2019-English.pdf,2019,"To protect and promote a clean and healthy environment in Nepal by regulating pollution (including from industry, hotels/restaurants, goods, activities and waste/hazardous-substance disposal), requiring environmental studies for proposals, and establishing the institutions, standard-setting powers, monitoring duties and penalties that underpin all subordinate plastic-waste regulation (e.g., the Plastic Bag directives).",0,,1,"Act (""Ain"") enacted by the Federal Parliament of Nepal, repealing and replacing the Environment Protection Act, 1997 (s.47). Primary legislation, not an executive decree.",0.75,"waste management, industry, tourism, transport, hotels & restaurants, chemicals",0.75,"production, consumption, disposal, environmental leakage",0.5,"Ministerial/Council function ""to manage economic resources for environmental protection and climate change and facilitate for the same"" (functions of the Council chaired by the Prime Minister, Chapter on institutional arrangements); no dedicated, ring-fenced plastics/waste fund is created by the Act itself.",0.75,1.0,Waste management,"S.15 ""Control of pollution"": Government of Nepal may, by Gazette notification, determine standards to mitigate pollution from industrial enterprises, hotels, restaurants, goods, activities and disposal/emission of hazardous substances; s.15(2) ""No person shall create pollution... or do... any act contrary to the standards""; s.35 sets fines for non-compliance; s.41 empowers Gazette orders on precautionary matters.",1,0.75,"Authority: Department of Environment/Ministry designated (+0.25). Enforcement: s.35 fines up to NPR 5,00,000-50,00,000 and s.35(3) fines up to NPR 3,00,000 for other contraventions (+0.25). Monitoring: s.39 mandatory monitoring/inspection duty (+0.25). Unconditional: standards are only ""as prescribed"" by subordinate notice, leaving discretionary scope/exemptions (0).",0.875,"This is the parent enabling provision under which plastic-specific bans (e.g., the Plastic Bag (Regulation and Control) Directive) are issued via s.45 - see the separate Plastic Bag Directive policy rows for the plastics-specific ban."
"Environment Protection Act, 2076 (2019)",http://climate.mohp.gov.np/images/Environment-Protection-Act-2019-English.pdf,2019,"To protect and promote a clean and healthy environment in Nepal by regulating pollution (including from industry, hotels/restaurants, goods, activities and waste/hazardous-substance disposal), requiring environmental studies for proposals, and establishing the institutions, standard-setting powers, monitoring duties and penalties that underpin all subordinate plastic-waste regulation (e.g., the Plastic Bag directives).",0,,1,"Act (""Ain"") enacted by the Federal Parliament of Nepal, repealing and replacing the Environment Protection Act, 1997 (s.47). Primary legislation, not an executive decree.",0.75,"waste management, industry, tourism, transport, hotels & restaurants, chemicals",0.75,"production, consumption, disposal, environmental leakage",0.5,"Ministerial/Council function ""to manage economic resources for environmental protection and climate change and facilitate for the same"" (functions of the Council chaired by the Prime Minister, Chapter on institutional arrangements); no dedicated, ring-fenced plastics/waste fund is created by the Act itself.",0.75,0.4,Environmental leakage,"Ss.21-22: environmental inspectors ""shall carry out monitoring and inspection"" of compliance with pollution-control standards; s.39: Ministry/Department/Provincial/Local Level ""may carry out monitoring and inspection"" of Act implementation.",1,0.75,"Authority: environmental inspectors formally designated (+0.25). Monitoring: this is itself the monitoring/inspection mechanism, explicitly mandatory for s.39(1) (+0.25). Enforcement: inspection findings feed into s.35 fines (+0.25). Unconditional: not evidenced (0).",0.575,Institutional/monitoring instrument rather than a substantive plastics rule.
"Environment Protection Act, 2076 (2019)",http://climate.mohp.gov.np/images/Environment-Protection-Act-2019-English.pdf,2019,"To protect and promote a clean and healthy environment in Nepal by regulating pollution (including from industry, hotels/restaurants, goods, activities and waste/hazardous-substance disposal), requiring environmental studies for proposals, and establishing the institutions, standard-setting powers, monitoring duties and penalties that underpin all subordinate plastic-waste regulation (e.g., the Plastic Bag directives).",0,,1,"Act (""Ain"") enacted by the Federal Parliament of Nepal, repealing and replacing the Environment Protection Act, 1997 (s.47). Primary legislation, not an executive decree.",0.75,"waste management, industry, tourism, transport, hotels & restaurants, chemicals",0.75,"production, consumption, disposal, environmental leakage",0.5,"Ministerial/Council function ""to manage economic resources for environmental protection and climate change and facilitate for the same"" (functions of the Council chaired by the Prime Minister, Chapter on institutional arrangements); no dedicated, ring-fenced plastics/waste fund is created by the Act itself.",0.75,0.4,Waste management,"Council (chaired by the Prime Minister) function ""to give necessary policy guidance to the Provincial and Local levels with regard to environmental protection""; s.26 empowers coordinated action by Government of Nepal, Provincial Government and Local Level on environmental/climate risk mitigation.",1,0.25,Authority: Council/Ministry roles for federal-provincial-local guidance are explicitly defined in the Act (+0.25). No explicit monitoring or enforcement mechanism or unconditional guarantee evidenced for this coordination function specifically.,0.325,Coded per Rule 11 as a multi-level governance coordination instrument (national-provincial-local policy guidance on environmental protection).
"Plastic Bag (Regulation and Control) Directive, 2082 (2025)",https://thehimalayantimes.com/environment/nepal-issues-new-plastic-bag-directive-bans-bags-thinner-than-40-microns,2025,"To prohibit the production, import, storage, sale, distribution and use of plastic bags thinner than 40 microns throughout Nepal; to set size, material and labelling standards for permitted bags; to impose Extended Producer Responsibility (EPR) obligations on producers/importers; and to assign compliance-monitoring roles across federal, provincial and local government.",1,"""The directive prohibits the production, import, storage, sale, and use of plastic bags thinner than 40 microns. Only bags measuring at least 7 inches by 14 inches or larger may be produced, imported, and sold as general plastic bags, while garbage bags must be at least 14 inches by 26 inches or larger.""",0.75,"Directive (""Nirdeshika"") issued by the Ministry of Forests and Environment under the authority of s.45 of the Environment Protection Act, 2076 - an executive/ministerial, sub-legislative instrument, not enacted by Parliament. It replaces the earlier Plastic Bag (Regulation and Control) Directive, 2068 (2011) and its 2078 (2021) revision.",1,"production, consumption, retail, waste management, recycling, industry, trade",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"EPR clause requires producers/importers to ""collect and manage at least [a specified share of] the waste they introduce"" and submit annual reports - a producer-funded financing mechanism, but no ring-fenced government fund is created by the Directive itself.",0.8125,1.0,Production,"Complete ban on production, import, storage, sale and distribution of plastic bags thinner than 40 microns nationwide; mandatory minimum bag sizes and virgin/recycled-granule composition standards; mandatory labelling (producer name/address, thickness, recycling symbol).",1,0.75,"Authority: Department of Environment designated as central regulator, with provincial/local governments empowered to monitor markets (+0.25). Enforcement: violations actionable under Environment Protection Act s.35(3) (+0.25). Monitoring: importers must ""maintain calibrated instruments"" and ""submit annual reports"" on bags sold/imported (+0.25). Unconditional: not met - bags ≥40 microns remain permitted and prior enforcement attempts (2011, 2015, 2018, 2021) were repeatedly reported as unimplemented, indicating de-facto loopholes (0).",0.875,"Replaces/supersedes the Action Plan for Ban on Plastic Bags, 2079 (2022) and the 2078 (2021) Gazette notice banning bags <40 microns, which pursued the same objective via a Cabinet-approved action plan rather than a ministerial directive; media sources note repeated past non-enforcement (e.g., Kathmandu Post, 2021)."
"Plastic Bag (Regulation and Control) Directive, 2082 (2025)",https://thehimalayantimes.com/environment/nepal-issues-new-plastic-bag-directive-bans-bags-thinner-than-40-microns,2025,"To prohibit the production, import, storage, sale, distribution and use of plastic bags thinner than 40 microns throughout Nepal; to set size, material and labelling standards for permitted bags; to impose Extended Producer Responsibility (EPR) obligations on producers/importers; and to assign compliance-monitoring roles across federal, provincial and local government.",1,"""The directive prohibits the production, import, storage, sale, and use of plastic bags thinner than 40 microns. Only bags measuring at least 7 inches by 14 inches or larger may be produced, imported, and sold as general plastic bags, while garbage bags must be at least 14 inches by 26 inches or larger.""",0.75,"Directive (""Nirdeshika"") issued by the Ministry of Forests and Environment under the authority of s.45 of the Environment Protection Act, 2076 - an executive/ministerial, sub-legislative instrument, not enacted by Parliament. It replaces the earlier Plastic Bag (Regulation and Control) Directive, 2068 (2011) and its 2078 (2021) revision.",1,"production, consumption, retail, waste management, recycling, industry, trade",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"EPR clause requires producers/importers to ""collect and manage at least [a specified share of] the waste they introduce"" and submit annual reports - a producer-funded financing mechanism, but no ring-fenced government fund is created by the Directive itself.",0.8125,1.0,End of life,"Extended Producer Responsibility (EPR) obligation: manufacturers and importers ""must collect and manage"" a minimum share of the plastic-bag waste they place on the market and submit annual compliance reports to the Department.",1,0.75,Authority: Department of Environment (+0.25). Enforcement: penalties under the Environment Protection Act apply to non-compliant producers (+0.25). Monitoring: mandatory annual EPR reporting (+0.25). Unconditional: not evidenced (0).,0.875,"First binding, plastics-specific EPR obligation identified in Nepali policy to date."
"Plastic Bag (Regulation and Control) Directive, 2082 (2025)",https://thehimalayantimes.com/environment/nepal-issues-new-plastic-bag-directive-bans-bags-thinner-than-40-microns,2025,"To prohibit the production, import, storage, sale, distribution and use of plastic bags thinner than 40 microns throughout Nepal; to set size, material and labelling standards for permitted bags; to impose Extended Producer Responsibility (EPR) obligations on producers/importers; and to assign compliance-monitoring roles across federal, provincial and local government.",1,"""The directive prohibits the production, import, storage, sale, and use of plastic bags thinner than 40 microns. Only bags measuring at least 7 inches by 14 inches or larger may be produced, imported, and sold as general plastic bags, while garbage bags must be at least 14 inches by 26 inches or larger.""",0.75,"Directive (""Nirdeshika"") issued by the Ministry of Forests and Environment under the authority of s.45 of the Environment Protection Act, 2076 - an executive/ministerial, sub-legislative instrument, not enacted by Parliament. It replaces the earlier Plastic Bag (Regulation and Control) Directive, 2068 (2011) and its 2078 (2021) revision.",1,"production, consumption, retail, waste management, recycling, industry, trade",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"EPR clause requires producers/importers to ""collect and manage at least [a specified share of] the waste they introduce"" and submit annual reports - a producer-funded financing mechanism, but no ring-fenced government fund is created by the Directive itself.",0.8125,0.4,Waste management,"Multi-level enforcement architecture: the Department of Environment regulates compliance centrally, while ""provincial and local governments can use the guidelines as a framework for enforcement"" and ""local bodies are empowered to monitor markets and enforce standards within their jurisdictions.""",1,0.5,"Authority: roles for Department of Environment, provincial and local governments explicitly assigned (+0.25). Monitoring: local-level market monitoring role explicit (+0.25). No separate/independent enforcement or unconditional guarantee evidenced beyond what is already counted for the ban instrument.",0.45,"Coded per Rule 11 as a distinct multi-level governance coordination instrument (national Department of Environment - provincial - local monitoring roles), kept separate from the ban itself to highlight the coordination dimension."
"Notice on Prohibition of Production, Import, Sale, Distribution and Storage of Plastic Artificial Flowers (Nepal Gazette, 2079/2022)",https://research.hktdc.com/en/article/MTE0MjMzNDg4Mw,2022,"To completely prohibit the production, import, sale, distribution and storage of plastic artificial flowers, garlands and bouquets in Nepal, as an upstream measure to reduce non-biodegradable, non-recyclable plastic products entering the market.",0.5,"""...the government imposed complete ban on production, import, sales, distribution and storage of plastic flower."" (paraphrased in secondary reporting; exact Gazette wording not independently verified).",0.75,"Notification published in the Nepal Gazette by the Ministry of Forests and Environment under its Environment Protection Act powers - an executive Gazette order, not an Act of Parliament.",0.5,"production, trade, retail, consumption",0.5,"production, consumption",0,,0.4375,1.0,Production,"Complete ban on production, import, sale, distribution and storage of plastic artificial flowers, garlands and bouquets; forecast to halt an estimated NPR 10 crore/year of plastic-decoration imports.",1,0.5,"Authority: Ministry of Forests and Environment/Customs administer the import ban (+0.25). Unconditional: framed as a blanket, complete ban on the product category with no stated carve-outs (+0.25). Enforcement and monitoring: not evidenced in the sources reviewed - press reporting (Nepal News, 2022) instead notes 15 tonnes of plastic flowers were imported in the first month after the ban, suggesting weak practical enforcement (0).",0.75,Uncertain (Rule 8): coded policy_target as 0.5 rather than 1 because the underlying measure is framed as a categorical ban rather than a numeric percentage/threshold target; a case could be made for scoring a 100% ban as a quantifiable target (=1) instead.
"Solid Waste Management National Policy, 2079 (2022)",https://mofe.gov.np/storage/files/National_Waste_Management_Policy_2079.pdf,2022,"To provide the national policy framework guiding solid waste management (which by definition includes plastic waste) across the federal, provincial and local tiers of government; to promote waste as a resource through the circular economy and 3R (reduce, reuse, recycle); to reduce environmental pollution and public-health risk; and to encourage private-sector participation and public-private partnership in waste infrastructure.",1,"""The Waste Management National Policy 2079 aims to address the growing waste crisis... It targets zero-waste-to-landfill by 2030 through enhanced recycling and waste-to-energy initiatives.""",0.5,"A national policy (""rashtriya niti"") approved at Council of Ministers (Cabinet) level - a strategic policy document rather than an Act of Parliament or a stand-alone regulation/ordinance - that nonetheless embeds a quantifiable target (zero waste to landfill by 2030), placing it at 0.50 rather than 0.25.",1,"waste management, industry, municipalities, private sector, tourism, agriculture, chemicals, health",0.75,"consumption, recycling, disposal, environmental leakage",0.5,"Policy strategy of ""increasing public private partnership and investment in waste management""; in practice, local bodies draw on federal/provincial conditional, complementary and special intergovernmental grants (via the National Natural Resources and Fiscal Commission and Ministry of Finance) for SWM projects - a funding source is identified but no single ring-fenced fund is created by this policy itself.",0.6875,0.4,Waste management,"Multi-tier institutional role allocation: Federal level - development of acts, policies, regulations, research/technology development and attracting foreign investment; Provincial level - development of infrastructure (e.g., landfills) and coordination of local governments; Local level - management of municipal solid waste from source to disposal and development of municipal waste-management by-laws.",1,0.25,"Authority: roles for each of the three tiers of government are explicitly and individually defined (+0.25). No explicit monitoring, enforcement mechanism or unconditional guarantee is specified within the policy text itself for this allocation.",0.325,"Coded per Rule 11 as a multi-level governance coordination instrument. Coded in force (S=1) because the role division is described as the operative framework already guiding current practice, not a contingent/unexercised enabling power - flagged as an area of judgement per Rule 12, since as a policy (not a binding Act) it is not directly justiciable on its own."
"Solid Waste Management National Policy, 2079 (2022)",https://mofe.gov.np/storage/files/National_Waste_Management_Policy_2079.pdf,2022,"To provide the national policy framework guiding solid waste management (which by definition includes plastic waste) across the federal, provincial and local tiers of government; to promote waste as a resource through the circular economy and 3R (reduce, reuse, recycle); to reduce environmental pollution and public-health risk; and to encourage private-sector participation and public-private partnership in waste infrastructure.",1,"""The Waste Management National Policy 2079 aims to address the growing waste crisis... It targets zero-waste-to-landfill by 2030 through enhanced recycling and waste-to-energy initiatives.""",0.5,"A national policy (""rashtriya niti"") approved at Council of Ministers (Cabinet) level - a strategic policy document rather than an Act of Parliament or a stand-alone regulation/ordinance - that nonetheless embeds a quantifiable target (zero waste to landfill by 2030), placing it at 0.50 rather than 0.25.",1,"waste management, industry, municipalities, private sector, tourism, agriculture, chemicals, health",0.75,"consumption, recycling, disposal, environmental leakage",0.5,"Policy strategy of ""increasing public private partnership and investment in waste management""; in practice, local bodies draw on federal/provincial conditional, complementary and special intergovernmental grants (via the National Natural Resources and Fiscal Commission and Ministry of Finance) for SWM projects - a funding source is identified but no single ring-fenced fund is created by this policy itself.",0.6875,0.4,Recycling,"Zero-waste-to-landfill-by-2030 target underpinned by an 3R/circular-economy strategy: source segregation promotion, public-private partnership, baseline-data and technology research, and capacity building of SWM stakeholders, with ""robust monitoring and evaluation to ensure effectiveness.""",1,0.5,"Authority: Ministry of Forests and Environment/local bodies identified as implementers (+0.25). Monitoring: policy explicitly calls for ""robust monitoring and evaluation"" (+0.25). No specific enforcement mechanism (fines/penalties) or unconditional guarantee tied to the 2030 target is specified.",0.45,This is a strategic planning/target-setting instrument rather than a regulatory rule.
"Solid Waste Management National Policy, 2079 (2022)",https://mofe.gov.np/storage/files/National_Waste_Management_Policy_2079.pdf,2022,"To provide the national policy framework guiding solid waste management (which by definition includes plastic waste) across the federal, provincial and local tiers of government; to promote waste as a resource through the circular economy and 3R (reduce, reuse, recycle); to reduce environmental pollution and public-health risk; and to encourage private-sector participation and public-private partnership in waste infrastructure.",1,"""The Waste Management National Policy 2079 aims to address the growing waste crisis... It targets zero-waste-to-landfill by 2030 through enhanced recycling and waste-to-energy initiatives.""",0.5,"A national policy (""rashtriya niti"") approved at Council of Ministers (Cabinet) level - a strategic policy document rather than an Act of Parliament or a stand-alone regulation/ordinance - that nonetheless embeds a quantifiable target (zero waste to landfill by 2030), placing it at 0.50 rather than 0.25.",1,"waste management, industry, municipalities, private sector, tourism, agriculture, chemicals, health",0.75,"consumption, recycling, disposal, environmental leakage",0.5,"Policy strategy of ""increasing public private partnership and investment in waste management""; in practice, local bodies draw on federal/provincial conditional, complementary and special intergovernmental grants (via the National Natural Resources and Fiscal Commission and Ministry of Finance) for SWM projects - a funding source is identified but no single ring-fenced fund is created by this policy itself.",0.6875,1.0,End of life,"Policy ""lays the groundwork for Extended Producer Responsibility (EPR) - producers bearing accountability for the packaging waste they generate"" as a forward strategic direction.",0,0,"No sub-score evidenced: this is described as a groundwork/aspirational direction rather than a binding obligation with an identified authority, enforcement or monitoring mechanism within this policy.",0.0,"Enabling/aspirational EPR reference only (""lays the groundwork for"") - not yet operationalised within this policy, hence scored not-in-force per Rule 12. The actually binding, operative plastics-specific EPR obligation is in the Plastic Bag (Regulation and Control) Directive, 2082 (see separate policy rows above)."
