branch,file_path,also_appears_in,spreadsheet_row,column,severity,finding
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,O,ERROR,"policy_score (O) varies across rows of the same policy ([0.69, 0.73, 0.85]); per the prompt O is a policy-level field and MUST be identical across every instrument row for this policy (rows [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12])."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,J,WARN,"policy_sectors_list (J) lists 16 sector(s) ('comercio minorista, retail, administración tributaria (SUNAT), MEF, alimentos y bebidas, servicios, comercio electrónico, manufactura de bolsas plásticas, importación de empaques / retail commerce, tax administration (SUNAT), MEF, food & beverage, services, e-commerce, plastic bag manufacturing, packaging imports'), inconsistent with policy_integration (I)=0.75 bucket. Recount sectors or adjust I."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,J,WARN,"policy_sectors_list (J) entry 'administración tributaria (SUNAT)' is not lower case (Coding Rules require lower case, comma-separated)."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,J,WARN,"policy_sectors_list (J) entry 'MEF' is not lower case (Coding Rules require lower case, comma-separated)."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,J,WARN,"policy_sectors_list (J) entry 'tax administration (SUNAT)' is not lower case (Coding Rules require lower case, comma-separated)."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,J,WARN,"policy_sectors_list (J) entry 'MEF' is not lower case (Coding Rules require lower case, comma-separated)."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,L,ERROR,"policy_lifecycle_phases_list (L) contains 'consumo', not one of the 5 allowed phases (production, consumption, recycling, disposal, environmental leakage)."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,L,ERROR,"policy_lifecycle_phases_list (L) contains 'producción (bolsas biodegradables certificadas)', not one of the 5 allowed phases (production, consumption, recycling, disposal, environmental leakage)."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,L,ERROR,"policy_lifecycle_phases_list (L) contains 'disposición / consumption', not one of the 5 allowed phases (production, consumption, recycling, disposal, environmental leakage)."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,L,ERROR,"policy_lifecycle_phases_list (L) contains 'production (certified biodegradable bags)', not one of the 5 allowed phases (production, consumption, recycling, disposal, environmental leakage)."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,L,WARN,"policy_lifecycle_phases_list (L) lists 5 phase(s), inconsistent with policy_circularity (K)=0.75 bucket."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,2,O,ERROR,policy_score (O)=0.69 does not equal (G+I+K+M)/4 = (0.75+0.75+0.75+1.0)/4 = 0.812.
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,3,J,WARN,"policy_sectors_list (J) lists 16 sector(s) ('comercio minorista, retail, administración tributaria (SUNAT), MEF, alimentos y bebidas, servicios, comercio electrónico, manufactura de bolsas plásticas, importación de empaques / retail commerce, tax administration (SUNAT), MEF, food & beverage, services, e-commerce, plastic bag manufacturing, packaging imports'), inconsistent with policy_integration (I)=0.75 bucket. Recount sectors or adjust I."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,3,J,WARN,"policy_sectors_list (J) entry 'administración tributaria (SUNAT)' is not lower case (Coding Rules require lower case, comma-separated)."
cursor/peru-ds-244-2019-4p-index-d350,output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx,,3,J,WARN,"policy_sectors_list (J) entry 'MEF' is not lower case (Coding Rules require lower case, comma-separated)."
